Name,Template,Reference
collection,font/collection,[RFC 8081]
otf,font/otf,[RFC 8081]
sfnt,font/sfnt,[RFC 8081]
ttf,font/ttf,[RFC 8081]
woff,font/woff,[RFC 8081]
woff2,font/woff2,[RFC 8081]
