BLAKE2b Checksum,Media Type
01dc2cb4a7eca5ac9f4c8430fdc765ae,application/vnd.wrq-hp3000-labelled
a9c1006895abc61674d87c71bb066c82,application/whoispp-query
ae4a4b5077c4e14ce5eb66679bcfd9cc,application/whoispp-response
1eb0cf21dcd0f84f0aa1e618fb21b985,application/wita
1c9fca46f05304519fce4691d00c7fa5,application/wordperfect5.1
8ff91dbdcaadff0fced79cbef09ad537,application/x400-bp
7b10896e9cc21f381b84ab0782d9f294,audio/BV16
de01023279969e784c89bbdec71760e2,audio/BV32
4c74967479b2e71a82e715cad42e971a,audio/TETRA_ACELP
b05b750a362cf4fa199fe30b04aee809,audio/ac3
acf052500b154cdf1eba44a9cc43dd08,audio/amr-wb+
9c2ed383806d4fea55e363e52591e4fa,audio/basic
bf1f501392e1481504d317200d59c8ef,audio/dsr-es201108
269aff0826f09d8886d74ee788aef790,audio/dsr-es202050
269aff0826f09d8886d74ee788aef790,audio/dsr-es202211
269aff0826f09d8886d74ee788aef790,audio/dsr-es202212
904a3e1c7815dec3c24d659ca917ae8d,audio/eac3
27f87d963a3ba3880460bff97f2ea6ec,audio/opus
5bd66ab93df27ecb4ed58286e47ef2a7,audio/vnd.dra
f48a015f39f2e6e69f55309c9603c407,image/cgm
a78e609c9a42b6f331fedea2405c6437,image/g3fax
7c986ca604f06442ff496db747cd0f1d,image/naplps
4e0846ae9917309f034305f932dbdd3e,image/vnd.svf
81d82827925a802eb3d5c21ae7f44172,message/CPIM
6c431224d6ca8366d6b87c712f863b21,message/delivery-status
09bd421c34b947a73edae9d752006365,message/news
dc76f4a3ed142cb0d23b533511cc02d8,message/s-http
110a34eb78139da2d2da988c51dee5a6,message/sip
eaab6b7b90eaaf426d494ffac051f3b7,message/sipfrag
c8f97c7230ed5931f305cad3f5ad7e94,message/tracking-status
f309021231cef76c4d737bde3471dd35,model/e57
f3983af275f7e295e5c80cea6e23bf13,model/iges
ac9d8fa62a2235c8386377d04ebdda2a,multipart/appledouble
2d8d50a23145fec5976904d284e53c0d,multipart/encrypted
2d6a172aa7e068e84374e0ab3e0539c4,multipart/header-set
7aade8b4c695030fd0a53da3464b5db3,multipart/related
3b2b23d031df005409d21f9d5a873d74,multipart/signed
f41e28179ec55cf77a700609fcd33a48,text/SGML
b771a5b386b62db5af9cf3764abb549b,text/grammar-ref-list
7be2577fc8b70c153e04845dc37f6a38,text/rtf
281ddd5fa44b2242804cc3e9279f866f,text/tab-separated-values
c0a3bbff0cda108fe248f095e325e180,text/vnd.latex-z
d9c2d9bd3b19ea148149fa784c558a65,video/jpeg2000
e6727017a0483e3e75882ed6820a6eb8,video/quicktime
01d7a536e14bccc75195a17d72fa5f4f,video/vnd.motorola.video
01d7a536e14bccc75195a17d72fa5f4f,video/vnd.motorola.videop
d8cb4c6a4ccc7f42c7382cae50244357,video/vnd.vivo
