BLAKE2b Checksum,Media Type,Comment
2cd7df57c8a3af7d6c456e83df3987d5,application/vnd.seemail
9c5eb0b5436c5375ef61aed2464662ee,application/vnd.shana.informed.formdata
d769d3a930d78b8a68e12ae169851b29,application/vnd.shana.informed.formtemplate
83893eafd88a1f4a1c66bb4097253bfa,application/vnd.shana.informed.interchange
68519727737c4291b30270ac1b8000da,application/vnd.shana.informed.package
abb37add05ad5e6a9241d5a312becd15,application/vnd.street-stream
ad4deae1f14ab0a1a5522613a40f7e90,application/vnd.svd
872b5df053e2646c5184138cc79c616b,application/vnd.swiftview-ics
c9ddcb3638edef0a82107869ebd5bab0,application/vnd.truedoc
b6a135c41ed6bd61b16fd54b6944a049,application/vnd.webturbo
01dc2cb4a7eca5ac9f4c8430fdc765ae,application/vnd.wrq-hp3000-labelled
f4ec1b217adf37e9136c53b03d5dfd7d,application/vnd.yellowriver-custom-menu
1eb0cf21dcd0f84f0aa1e618fb21b985,application/wita
1c9fca46f05304519fce4691d00c7fa5,application/wordperfect5.1
8ff91dbdcaadff0fced79cbef09ad537,application/x400-bp
4f37a782766e5b595d0c25cc8b7611cc,application/zip
9c2ed383806d4fea55e363e52591e4fa,audio/basic
65a86c44bfdaa95f9adf8a269c9d49aa,haptics/hjif
47083033fb43eb92474bf3770854aec9,haptics/hmpg
d23bf0925b1f439e3f3e32c9c72a1fab,haptics/ivs
f48a015f39f2e6e69f55309c9603c407,image/cgm
a78e609c9a42b6f331fedea2405c6437,image/g3fax
7c986ca604f06442ff496db747cd0f1d,image/naplps
b365ddd9ae2206d6e58eb8bc94a332b3,image/vnd.dwg
2cce903733573c528973493bb5bbe20f,image/vnd.dxf
4e0846ae9917309f034305f932dbdd3e,image/vnd.svf
6c431224d6ca8366d6b87c712f863b21,message/delivery-status
110a34eb78139da2d2da988c51dee5a6,message/sip
eaab6b7b90eaaf426d494ffac051f3b7,message/sipfrag
c8f97c7230ed5931f305cad3f5ad7e94,message/tracking-status
f309021231cef76c4d737bde3471dd35,model/e57
f3983af275f7e295e5c80cea6e23bf13,model/iges
ac9d8fa62a2235c8386377d04ebdda2a,multipart/appledouble
2d8d50a23145fec5976904d284e53c0d,multipart/encrypted
2d6a172aa7e068e84374e0ab3e0539c4,multipart/header-set
7aade8b4c695030fd0a53da3464b5db3,multipart/related
3b2b23d031df005409d21f9d5a873d74,multipart/signed
b771a5b386b62db5af9cf3764abb549b,text/grammar-ref-list,This media type is expected to be used only in conjunction with MRCPv2
7be2577fc8b70c153e04845dc37f6a38,text/rtf
f41e28179ec55cf77a700609fcd33a48,text/SGML
281ddd5fa44b2242804cc3e9279f866f,text/tab-separated-values
c0a3bbff0cda108fe248f095e325e180,text/vnd.latex-z
196b7e6bc01d7b9186ad8be8c96f8b32,text/vnd.ms-mediapackage
e6727017a0483e3e75882ed6820a6eb8,video/quicktime
01d7a536e14bccc75195a17d72fa5f4f,video/vnd.motorola.video
01d7a536e14bccc75195a17d72fa5f4f,video/vnd.motorola.videop
d8cb4c6a4ccc7f42c7382cae50244357,video/vnd.vivo
